index,smiles,AlogP,Effective
98,Cc1csc(NC(=O)c2ccc(CNc3ccccc3C(F)(F)F)s2)n1,5.4,0
99,Cc1csc(NC(=O)c2ccc(CNc3ccccc3)cc2)n1,4.32,0
100,O=C(O)Cc1csc(NC(=O)c2ccc(CNc3ccccc3Cc3ccccc3)cc2)n1,5.23,0
101,O=C(Nc1nc(CO)cs1)c1ccc(CNc2ccccc2C(F)(F)F)s1,4.58,0
102,CCCCCCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)s1,6.6,0
103,CCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CO)cs2)cc1,4.84,0
104,COc1ncc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)cn1,3.61,0
105,Cn1cc(-c2ccc(N3CCC(N4CCc5c(Cl)cc(Cl)cc54)CC3)nn2)cn1,4.22,0
106,Fc1ccc2c(c1)N(C1CCN(c3ccc(-c4cn[nH]c4)nn3)CC1)CC2,3.04,0
107,Cn1cc(-c2ccc(N3CCC(n4ncc5c(C(F)(F)F)cccc54)CC3)nn2)cn1,4.09,0
108,OCc1cnn(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)c1,2.82,1
109,Cn1cc(-c2ccc(N3CCC(N4CCc5c(Cl)cccc54)CC3)nn2)cn1,3.56,0
110,OCc1nnc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)o1,2.68,1
111,Cc1ccc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)cc1,5.12,0
112,COc1ccc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)nc1,4.21,0
113,Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(C(F)(F)F)cc54)CC3)nn2)cn1,3.93,0
114,Cn1cc(-c2ccc(N3CCC(n4ncc5c(F)cccc54)CC3)nn2)cn1,3.21,0
115,Cc1cnn(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)c1,3.64,0
116,Cn1cc(Cl)nc(N2CCC(Oc3cc(F)ccc3Cl)CC2)c1=O,3.27,0
117,Cc1nnc(N2CCC(Oc3cc(C(F)(F)F)ccc3Cl)CC2)nc1C,4.21,0
118,Cc1nnc(-c2ccc(N3CCC(Oc4cc(F)ccc4Cl)CC3)nn2)o1,3.68,0
119,N[C@H](c1ccccc1)c1ccc(C(=O)Nc2nc3ccc(O)cc3s2)cc1,4.3,0
120,COc1ccc2nc(NC(=O)c3ccc([C@H](N)c4ccccc4)cc3)sc2c1,4.61,0
121,COc1ccc2nc(NC(=O)c3cccnc3)sc2c1,2.95,1
122,O=C(Nc1nc2ccccc2s1)c1cccnc1,2.94,1
123,COc1ccc2nc(NC(=O)c3cccnc3)sc2c1,2.95,1
124,COc1ccc2nc(NC(=O)c3ccc([C@H](N)c4ccccc4)cc3)sc2c1,4.61,0
125,OCc1nnc(-c2ccc(N3CCC(c4ccc(C(F)(F)F)cc4)(C(F)(F)F)CC3)nn2)s1,4.61,0
126,OCc1noc(-c2ccc(N3CCC(c4ccc(C(F)(F)F)cc4)(C(F)(F)F)CC3)nn2)n1,4.14,0
127,N#CC1(c2ccc(S(F)(F)(F)(F)F)cc2)CCN(c2ccc(-c3nc(CO)no3)nn2)CC1,4.74,0
128,COc1ccc2nc(NC(=O)c3ccc([C@H](N)c4ccccc4)cc3)sc2c1,4.61,0
129,CCCOc1ccc2nc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)sc2c1,5.57,0
130,COc1ccc2nc(NC(=O)c3ccc(OCc4ccccc4)cc3)sc2c1,5.14,0
131,COc1ccc2nc(NC(=O)c3ccc(N=[N+]=[N-])cc3)sc2c1,4.5,0
132,COc1ccc2nc(NC(=O)c3ccc(C(=O)NCc4ccccc4)cc3)sc2c1,4.49,0
133,O=C(Nc1nc2ccccc2s1)c1cccnc1,2.94,1
134,COc1ccc(C(=O)Nc2nc3cc(N)ccc3s2)cc1,3.14,0
135,N[C@H](c1ccccc1)c1ccc(C(=O)Nc2nc3ccc(O)cc3s2)cc1,4.3,0
136,COc1ccc2nc(NC(=O)c3ccc([C@H](N)c4ccccc4)cc3)sc2c1,4.61,0
137,COc1ccc2nc(NC(=O)c3ccc([C@H](N)c4ccccc4)cc3)sc2c1,4.61,0
138,COc1ccc2nc(NC(=O)c3ccc(N)cc3)sc2c1,3.14,0
139,COc1ccc(C(=O)Nc2nc3ccc(OC)cc3s2)cc1,3.57,0
140,O=C(Nc1nc2ccccc2s1)c1ccc(-c2ccccc2)cc1,5.22,0
141,Cc1cccc(C(=O)Nc2nc3ccccc3s2)c1,3.86,0
142,COc1ccc(C(=O)Nc2nc3cc(N)ccc3s2)cc1,3.14,0
143,C#CCOc1ccc2nc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)sc2c1,4.79,0
144,COc1cc2sc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)nc2cc1Br,5.55,0
145,COc1ccc2nc(NC(=O)c3ccc(C(N)c4ccccc4)cc3)sc2c1,4.61,0
146,Fc1ccc(F)c2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,4.15,0
147,FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,4.9,0
148,COc1ccc(-c2nc3ccc(NCc4cccc(F)c4)nc3n(CCNC(C)=O)c2=O)cc1,3.35,0
149,CCOC(=O)NCCn1c(=O)c(-c2ccc(OC)cc2)nc2cnc(NCc3ccc(Cl)c(Cl)c3)nc21,4.53,0
150,COc1ccc(-c2nc3ccc(NCc4ccc(C)c(C)c4)cc3n(CCNC(C)=O)c2=O)cc1,4.44,0
151,COc1ccc(-c2nc3ccc(NCc4ccc(Cl)c(Cl)c4)nc3n(CCNC(C)=O)c2=O)cc1,4.52,0
152,COc1ccc(-c2nc3ccc(NCc4cccc(C(F)(F)F)c4)nc3n(CCC(N)=O)c2=O)cc1,3.97,0
153,COc1ccc(-c2nc3ccc(NCc4ccccc4Cl)nc3n(CCNC(C)=O)c2=O)cc1,3.87,0
154,CS(=O)(=O)c1ccc2nc(-c3ccc(-c4ccccc4Cl)cc3)[nH]c2c1,4.95,0
155,Cn1cc(-c2ccc(N3CCC(n4ccc5ccc(F)cc54)CC3)nn2)cn1,3.81,0
